Hours_Studied,Attendance,Parental_Involvement,Motivation_Level,Teacher_Quality,Exam_Score,Perf
23,73,High,Low,Medium,67,Low
19,70,High,High,Medium,65,Low
18,62,Medium,Medium,Medium,64,Low
18,83,High,High,High,70,Low
14,69,Low,Medium,Medium,63,Low
30,66,Medium,Low,Medium,65,Low
18,86,Low,Medium,Medium,67,Low
27,87,Medium,Low,Medium,71,Medium
29,90,High,Medium,Low,73,Medium
26,80,Medium,Low,Medium,67,Low
17,96,High,Medium,High,72,Medium
22,97,Medium,High,High,71,Medium
20,92,Medium,High,Medium,72,Medium
15,85,High,Medium,High,68,Low
22,72,Low,Medium,High,65,Low
13,99,High,Low,Medium,68,Low
27,71,Medium,Medium,Medium,67,Low
17,68,Medium,High,Medium,66,Low
21,78,Medium,Medium,Low,64,Low
22,62,High,Medium,Medium,65,Low
18,99,Medium,Medium,Medium,69,Low
24,84,Medium,Medium,Medium,68,Low
17,82,High,Medium,Medium,69,Low
25,86,Medium,Low,Medium,70,Low
12,80,High,Medium,Medium,65,Low
21,61,Medium,Low,Low,63,Low
32,84,Low,Medium,High,71,Medium
14,89,Medium,Low,Medium,68,Low
16,77,Medium,High,High,70,Low
23,90,Medium,High,Low,72,Medium
21,69,Medium,Medium,Low,64,Low
22,69,Low,Low,Medium,64,Low
23,66,Medium,High,Medium,66,Low
24,75,Medium,High,High,69,Low
27,94,Medium,Medium,Medium,71,Medium
22,93,Medium,High,Low,69,Low
19,75,High,Low,Medium,67,Low
24,84,Low,Medium,High,66,Low
31,89,Medium,Medium,High,71,Medium
19,70,Medium,Low,Medium,63,Low
14,67,Medium,Medium,Medium,62,Low
27,99,Medium,Medium,High,73,Medium
19,85,High,Low,High,66,Low
7,99,High,Medium,High,72,Medium
25,74,High,Low,Medium,67,Low
17,88,Low,Medium,High,65,Low
19,69,Medium,Medium,Medium,66,Low
22,70,High,Low,Medium,68,Low
21,80,Medium,Medium,High,69,Low
24,73,High,Medium,Medium,68,Low
17,67,Medium,Medium,Medium,61,Low
23,71,High,Medium,High,68,Low
18,61,High,Low,High,64,Low
24,88,Medium,Low,High,67,Low
24,80,Low,High,Low,68,Low
14,64,Medium,Low,High,61,Low
27,67,High,Low,Low,66,Low
17,64,High,Low,Low,64,Low
25,85,Low,Low,Medium,67,Low
22,64,Medium,Low,Medium,64,Low
31,90,High,Low,Medium,72,Medium
19,61,Medium,Low,Medium,62,Low
18,70,High,Low,Medium,63,Low
20,96,High,Low,Medium,70,Low
18,89,High,Low,Medium,69,Low
25,63,Low,Medium,Low,64,Low
10,93,Low,Medium,Medium,66,Low
14,80,Low,Medium,High,67,Low
14,94,High,Medium,Low,71,Medium
26,84,Medium,Medium,High,70,Low
30,87,Low,Medium,Medium,69,Low
19,100,Medium,High,Medium,68,Low
19,69,Medium,Medium,Medium,64,Low
20,85,High,Low,Medium,70,Low
27,78,High,Medium,Low,69,Low
14,62,Medium,Medium,,63,Low
21,61,Low,Medium,Low,60,Low
26,65,High,Medium,Medium,65,Low
23,86,Medium,Medium,Medium,67,Low
21,83,Medium,Low,Medium,66,Low
26,82,Low,Medium,Medium,68,Low
4,61,Low,High,Low,58,Low
24,79,Low,Medium,Medium,67,Low
16,97,Medium,Low,Medium,68,Low
9,76,Medium,Medium,Medium,62,Low
23,85,Low,High,Medium,69,Low
28,91,Medium,High,High,73,Medium
19,91,High,Medium,Medium,66,Low
26,81,Low,Medium,Medium,67,Low
30,94,Medium,Medium,Low,71,Medium
28,76,Medium,Medium,Medium,66,Low
30,96,High,Medium,High,74,Medium
24,70,Medium,Low,High,67,Low
20,71,High,High,High,68,Low
10,62,Medium,High,High,61,Low
19,92,Medium,Medium,Medium,69,Low
15,77,Low,Low,Medium,65,Low
33,69,Medium,Medium,Low,71,Medium
19,69,Medium,Medium,Low,61,Low
21,96,Medium,Medium,High,70,Low
23,93,Medium,Medium,Medium,70,Low
20,82,Medium,Low,Medium,69,Low
30,85,High,High,Medium,70,Low
16,79,High,Medium,Low,67,Low
21,76,Low,Low,Medium,63,Low
16,97,Medium,Medium,Medium,70,Low
12,65,Medium,Medium,High,61,Low
16,77,Low,Low,Medium,64,Low
20,74,Medium,High,Medium,65,Low
17,80,Medium,Medium,High,65,Low
16,78,Medium,High,High,66,Low
12,81,High,Low,High,66,Low
20,66,Low,Medium,Low,63,Low
11,81,Low,Medium,Medium,66,Low
25,70,Medium,High,Medium,64,Low
20,67,High,Medium,High,65,Low
11,63,High,Low,Medium,62,Low
18,91,Low,High,Medium,71,Medium
15,77,Medium,Low,Medium,63,Low
22,85,Medium,High,High,70,Low
28,89,Medium,Low,Medium,70,Low
9,87,Medium,Medium,High,65,Low
21,79,High,Medium,,66,Low
19,76,Medium,Medium,Medium,66,Low
24,75,Medium,High,High,68,Low
21,86,High,Medium,Medium,68,Low
15,80,High,Medium,High,69,Low
18,94,Medium,Medium,Low,71,Medium
15,95,Medium,Low,,69,Low
26,67,Medium,Medium,Medium,68,Low
20,65,Medium,Medium,High,67,Low
31,85,High,Medium,High,72,Medium
20,72,High,High,Medium,68,Low
16,61,High,Low,Medium,60,Low
11,96,Medium,High,Medium,68,Low
9,69,High,High,High,65,Low
10,97,Low,High,Medium,67,Low
22,89,Low,Low,Medium,70,Low
23,91,Medium,High,High,70,Low
11,68,Medium,Low,High,61,Low
25,69,High,Medium,High,68,Low
17,81,Medium,High,Medium,67,Low
21,67,Medium,Medium,Medium,62,Low
30,72,Medium,Medium,Medium,66,Low
25,73,High,Medium,Medium,69,Low
18,66,Medium,Medium,Medium,66,Low
15,68,Medium,Medium,Medium,64,Low
7,92,High,High,Low,66,Low
16,67,Medium,Low,Medium,63,Low
19,61,Low,Low,Medium,62,Low
14,85,Medium,Low,Medium,65,Low
19,99,Low,Low,Medium,68,Low
20,73,High,Low,Low,65,Low
19,65,Medium,Low,Low,63,Low
16,83,High,Medium,Medium,68,Low
21,96,Medium,Low,Medium,72,Medium
23,91,High,Medium,Medium,69,Low
13,85,Low,Low,High,66,Low
28,73,Low,High,High,68,Low
19,82,Low,Medium,High,64,Low
20,64,Medium,Low,Medium,61,Low
24,87,Low,High,Low,67,Low
21,89,Medium,Medium,Low,68,Low
26,99,Medium,High,Medium,74,Medium
22,70,Medium,Medium,High,67,Low
16,61,Medium,Medium,Medium,64,Low
22,82,Low,Medium,High,69,Low
13,88,High,Medium,Medium,63,Low
21,92,Medium,Medium,Medium,67,Low
20,68,High,Medium,Medium,65,Low
19,70,Medium,Medium,Low,67,Low
19,81,High,Medium,Medium,68,Low
9,73,Medium,Medium,Medium,62,Low
17,94,High,Medium,High,70,Low
21,79,Low,Medium,Medium,67,Low
21,92,High,Medium,Medium,89,High
14,83,High,Low,Medium,65,Low
28,91,Low,Medium,Medium,69,Low
15,73,Medium,High,Medium,64,Low
26,93,High,Medium,Medium,74,Medium
23,71,Medium,Medium,Medium,64,Low
16,82,Low,Medium,Medium,64,Low
31,69,Medium,Medium,Medium,67,Low
13,79,Low,High,Medium,63,Low
26,73,High,Low,High,68,Low
26,71,Low,Low,Medium,66,Low
16,99,Low,High,Medium,68,Low
28,66,Medium,Medium,Medium,68,Low
18,91,Medium,Medium,Medium,69,Low
22,99,High,Medium,Low,71,Medium
22,61,Low,Medium,Medium,65,Low
19,88,Low,Medium,Medium,67,Low
25,70,Medium,Medium,Medium,65,Low
25,62,High,Medium,High,65,Low
10,76,Medium,Medium,High,80,Medium
28,97,Medium,High,Medium,74,Medium
10,60,Medium,Low,Low,59,Low
26,84,Medium,Low,High,69,Low
27,80,Medium,Medium,Medium,66,Low
13,95,Medium,Medium,Low,66,Low
18,63,High,Medium,Medium,65,Low
13,87,High,Low,Low,67,Low
19,87,High,Low,Medium,69,Low
18,87,Medium,High,Medium,68,Low
25,98,Medium,Medium,High,73,Medium
28,93,Low,Medium,Medium,71,Medium
28,62,High,Medium,High,67,Low
17,79,Medium,Low,High,67,Low
19,76,High,Medium,High,66,Low
10,72,Medium,Medium,Medium,63,Low
15,78,High,Medium,Medium,65,Low
26,75,Medium,Medium,Medium,67,Low
30,77,Medium,Medium,Low,69,Low
13,99,Medium,Medium,Medium,67,Low
16,64,High,High,High,66,Low
20,97,High,Low,High,74,Medium
22,79,High,Medium,,69,Low
15,85,Low,High,Medium,66,Low
23,93,High,Low,Medium,69,Low
17,74,Medium,Low,Medium,63,Low
20,77,Medium,Medium,High,65,Low
23,76,Low,Low,Medium,64,Low
20,75,Low,High,Medium,64,Low
17,97,Low,Low,Low,69,Low
19,93,High,Medium,High,73,Medium
19,64,Medium,High,Medium,62,Low
18,64,Low,Low,Low,62,Low
18,77,Medium,High,High,68,Low
30,64,Medium,Low,Medium,66,Low
23,85,Low,High,Medium,68,Low
18,66,Low,Medium,Medium,66,Low
24,81,Low,Low,Medium,69,Low
18,60,Medium,Medium,Medium,62,Low
27,73,Low,Medium,Medium,68,Low
22,87,Medium,Low,High,67,Low
19,79,Low,Medium,Medium,65,Low
23,99,Low,Medium,Medium,69,Low
11,95,Medium,High,Low,67,Low
13,74,Low,High,Medium,64,Low
13,62,Low,Medium,High,62,Low
21,94,Medium,Low,High,71,Medium
30,96,Medium,Medium,Medium,72,Medium
33,93,High,Low,Medium,74,Medium
24,65,Low,Low,High,66,Low
23,100,High,Medium,Medium,72,Medium
9,70,High,Medium,High,65,Low
17,89,High,High,Medium,67,Low
15,96,Medium,High,High,70,Low
16,69,High,Medium,High,62,Low
19,96,Low,High,Medium,66,Low
17,72,Low,Medium,High,65,Low
8,99,Low,High,High,70,Low
24,71,High,Low,Medium,69,Low
14,98,Medium,Low,Medium,70,Low
21,62,High,Medium,Medium,66,Low
32,88,Medium,Low,High,73,Medium
14,81,High,Low,High,69,Low
5,79,High,Low,Medium,66,Low
18,69,High,Medium,Medium,65,Low
27,88,Medium,High,Medium,70,Low
32,68,High,Medium,High,70,Low
13,82,High,High,High,67,Low
23,70,Medium,High,Medium,68,Low
17,98,Medium,Low,Medium,68,Low
19,61,High,Medium,Medium,61,Low
36,68,Medium,High,Medium,70,Low
11,70,High,High,High,65,Low
22,77,Low,Medium,Medium,66,Low
23,69,Medium,Medium,Medium,67,Low
27,80,Low,High,Medium,69,Low
21,95,Medium,Medium,Medium,69,Low
22,88,Medium,Low,Medium,67,Low
18,83,High,Medium,Low,66,Low
22,64,Low,Medium,High,63,Low
18,88,High,Low,High,67,Low
24,67,High,Medium,Medium,64,Low
18,91,Medium,Medium,Medium,68,Low
22,70,Medium,Low,High,65,Low
20,77,Medium,Medium,Medium,65,Low
27,74,Medium,High,Medium,65,Low
20,94,Low,Medium,Medium,70,Low
9,65,Medium,Medium,Medium,62,Low
28,83,High,Medium,Medium,68,Low
15,66,Low,Low,High,62,Low
16,88,Medium,Medium,Medium,68,Low
16,96,High,Medium,High,72,Medium
28,77,High,Low,Medium,70,Low
7,80,High,Low,Medium,62,Low
39,97,High,Medium,Medium,79,Medium
26,81,Medium,Medium,High,73,Medium
21,80,High,High,Low,68,Low
20,83,High,Low,Medium,68,Low
22,88,Medium,Medium,High,69,Low
23,64,Medium,High,Medium,63,Low
24,93,Medium,Medium,Medium,74,Medium
23,77,Medium,Medium,High,69,Low
21,63,Medium,Medium,Medium,61,Low
19,91,Medium,Low,Medium,69,Low
19,75,Medium,High,Medium,64,Low
19,64,Medium,Low,Medium,63,Low
27,85,Low,Low,Medium,68,Low
24,95,High,Medium,Medium,72,Medium
2,96,Low,Medium,,65,Low
24,98,Low,Low,Low,69,Low
21,95,Medium,Low,Medium,70,Low
20,60,Medium,Low,Medium,63,Low
18,75,Low,Low,Medium,62,Low
27,93,Medium,Low,Medium,72,Medium
26,75,High,Medium,Medium,69,Low
15,84,Medium,Low,Medium,66,Low
22,84,Medium,Medium,High,71,Medium
14,75,Low,Medium,Medium,62,Low
12,96,Medium,Medium,High,68,Low
16,80,High,Low,Medium,63,Low
25,79,Medium,Medium,Medium,66,Low
26,100,High,High,High,75,Medium
23,80,Medium,High,High,69,Low
24,67,High,Medium,Low,68,Low
23,81,High,Medium,Medium,69,Low
16,93,High,Medium,Medium,67,Low
23,91,High,Medium,Medium,73,Medium
25,92,Medium,Low,Medium,71,Medium
25,88,High,Medium,Medium,71,Medium
27,70,Medium,High,Medium,68,Low
24,94,High,Medium,Medium,70,Low
22,96,Low,Low,High,71,Medium
26,68,Medium,High,High,69,Low
20,65,High,Medium,Medium,63,Low
15,99,Low,Medium,Medium,71,Medium
19,95,Medium,Medium,Medium,69,Low
16,96,High,Medium,Low,71,Medium
16,95,Medium,Low,High,68,Low
19,82,Medium,Medium,Medium,68,Low
15,86,Medium,Medium,High,66,Low
18,82,Medium,Medium,Medium,67,Low
9,62,Low,Low,High,59,Low
21,90,Low,Medium,Medium,66,Low
20,80,Low,Low,High,64,Low
15,86,Medium,Medium,Medium,64,Low
24,80,Medium,Medium,High,69,Low
26,80,High,High,Medium,69,Low
10,67,Medium,Medium,Medium,61,Low
15,71,High,Medium,High,62,Low
15,66,Low,Medium,High,61,Low
14,68,Medium,High,High,63,Low
25,99,Medium,Low,Medium,71,Medium
19,66,High,Medium,Low,65,Low
18,71,High,Medium,High,68,Low
8,84,High,Medium,High,67,Low
24,84,Low,High,Medium,70,Low
13,66,High,Medium,Medium,64,Low
20,92,Medium,High,Medium,71,Medium
22,91,High,Low,Medium,71,Medium
28,69,Medium,Low,Medium,67,Low
12,72,Medium,Medium,Medium,63,Low
2,98,Low,High,High,66,Low
21,93,Medium,Medium,Medium,70,Low
31,88,Medium,Medium,Medium,70,Low
27,63,Low,Medium,High,67,Low
21,77,Low,High,High,69,Low
17,82,High,Low,Medium,66,Low
25,67,Medium,Medium,Medium,67,Low
14,78,High,Medium,Medium,65,Low
23,84,High,Medium,Medium,72,Medium
23,73,High,Medium,Medium,68,Low
26,91,High,Low,Medium,72,Medium
37,94,High,High,Medium,76,Medium
22,73,Medium,Medium,Medium,65,Low
17,94,Low,Medium,Low,68,Low
20,64,Medium,Medium,High,65,Low
9,94,Medium,Low,High,66,Low
16,66,Low,Medium,Medium,63,Low
18,63,Medium,Medium,High,63,Low
17,86,Medium,Medium,Medium,66,Low
21,79,High,Medium,High,69,Low
15,96,Medium,High,Low,72,Medium
27,75,Medium,Medium,Low,66,Low
20,71,Medium,Medium,Medium,64,Low
20,80,Medium,Low,High,67,Low
18,78,High,Low,Medium,67,Low
21,74,Low,Medium,High,66,Low
25,88,Medium,Low,Medium,68,Low
15,90,Medium,Medium,Medium,65,Low
16,94,Medium,High,High,71,Medium
18,99,Medium,Medium,Low,71,Medium
12,71,Medium,Medium,High,62,Low
15,89,Medium,Low,High,69,Low
17,76,Medium,Low,Medium,65,Low
25,87,High,Low,Medium,70,Low
22,79,Medium,Medium,,66,Low
21,100,Medium,Medium,Medium,70,Low
25,89,Medium,Low,High,70,Low
19,98,Low,Medium,Medium,69,Low
22,93,High,Medium,Medium,71,Medium
19,96,Medium,Medium,Medium,69,Low
22,93,High,Medium,High,73,Medium
17,78,Medium,Low,High,65,Low
5,70,High,Medium,Medium,62,Low
19,75,Medium,Medium,Low,67,Low
29,61,Low,High,Medium,65,Low
26,81,Low,Low,Medium,65,Low
26,80,Medium,Medium,Medium,70,Low
27,81,Medium,Low,Medium,70,Low
21,99,Medium,Medium,Low,71,Medium
21,96,High,Low,High,71,Medium
16,66,Medium,Low,High,62,Low
18,75,Medium,Medium,Medium,65,Low
24,77,High,Medium,High,84,Medium
27,74,Medium,Medium,High,68,Low
19,92,High,Medium,Medium,70,Low
17,81,Medium,Medium,Medium,68,Low
20,83,Medium,Medium,High,67,Low
24,94,Low,Low,High,69,Low
11,92,High,Medium,Low,68,Low
6,65,High,Medium,Low,59,Low
17,89,High,Medium,Medium,67,Low
13,77,Medium,Low,Low,63,Low
17,72,High,Low,Medium,65,Low
19,62,Medium,Low,Medium,63,Low
17,79,Medium,Low,Medium,64,Low
29,74,High,High,High,72,Medium
22,70,Low,High,Medium,63,Low
22,88,Medium,Medium,Medium,66,Low
24,91,Medium,Low,Low,67,Low
13,70,High,High,Medium,66,Low
26,62,Medium,Medium,High,66,Low
20,94,Medium,Low,High,68,Low
24,60,High,Medium,Medium,66,Low
14,97,Medium,Medium,Medium,68,Low
11,85,Medium,Low,Medium,65,Low
25,73,Medium,Low,Medium,67,Low
22,70,High,Medium,Medium,64,Low
15,60,Low,Low,Medium,59,Low
15,69,Medium,Low,Medium,60,Low
27,66,Low,Low,High,65,Low
13,84,Medium,High,Medium,64,Low
30,67,Medium,Medium,Medium,66,Low
15,81,Medium,Medium,Medium,65,Low
24,84,Medium,Medium,High,69,Low
18,72,High,Medium,Medium,66,Low
24,61,High,Medium,High,65,Low
17,61,High,Low,Medium,62,Low
19,61,Medium,Medium,Medium,60,Low
20,90,Low,Low,High,68,Low
14,73,Medium,Medium,Medium,64,Low
24,92,High,High,Medium,73,Medium
17,77,Medium,Low,Medium,64,Low
19,78,High,Medium,Medium,69,Low
14,81,Low,Low,High,63,Low
5,89,Medium,High,Medium,65,Low
19,71,Medium,Medium,High,65,Low
34,65,Medium,High,High,67,Low
25,82,Medium,Medium,Low,67,Low
20,73,Medium,Low,Medium,66,Low
18,78,Medium,High,High,68,Low
20,86,Medium,Medium,High,65,Low
23,80,Low,Medium,Medium,66,Low
13,85,High,Medium,Medium,66,Low
27,82,Medium,Low,High,69,Low
24,90,Medium,Medium,Medium,70,Low
24,88,Medium,Medium,High,71,Medium
23,81,High,High,Low,70,Low
20,87,Medium,Low,Medium,68,Low
24,95,High,Medium,High,73,Medium
24,77,Medium,High,High,68,Low
18,77,Medium,Low,Medium,66,Low
17,91,Medium,Low,Medium,67,Low
21,83,Medium,Low,Medium,66,Low
29,63,Medium,Medium,High,69,Low
13,96,Medium,Medium,Low,67,Low
11,61,Medium,High,Low,61,Low
21,90,Medium,Medium,Medium,70,Low
20,90,High,Medium,Medium,70,Low
21,98,Medium,High,Medium,70,Low
21,62,Medium,Low,High,64,Low
19,84,High,Medium,Medium,65,Low
29,77,Medium,Medium,Medium,70,Low
10,73,Low,Low,High,62,Low
15,64,High,High,Low,64,Low
19,83,Medium,Medium,Low,67,Low
10,79,High,High,Low,63,Low
19,64,Low,High,High,62,Low
30,84,Low,Medium,High,72,Medium
20,90,Low,High,High,69,Low
21,91,Medium,Medium,Medium,72,Medium
12,96,Low,High,Medium,68,Low
16,76,Low,Low,Medium,64,Low
18,98,High,Low,Medium,72,Medium
18,95,High,Low,High,73,Medium
28,72,High,Low,Low,67,Low
23,66,High,Medium,Medium,64,Low
13,77,Medium,Low,Medium,65,Low
21,76,High,Low,High,67,Low
23,83,Medium,Low,High,68,Low
27,83,Medium,Medium,High,72,Medium
29,90,High,Low,Low,71,Medium
14,80,Medium,Medium,Medium,66,Low
15,64,High,Low,Medium,59,Low
12,94,Medium,Medium,High,68,Low
19,72,Low,Low,Low,64,Low
23,99,Low,Low,High,70,Low
26,65,Low,Medium,Medium,65,Low
20,98,High,High,High,72,Medium
18,64,High,Medium,Medium,66,Low
21,69,Medium,High,High,68,Low
15,62,Medium,Medium,Medium,62,Low
33,88,Medium,Medium,Medium,70,Low
10,94,High,High,Medium,70,Low
21,77,Medium,Medium,High,64,Low
32,97,High,Low,High,76,Medium
20,84,Medium,High,Medium,67,Low
19,85,High,Low,High,69,Low
18,94,Medium,Medium,High,68,Low
19,72,Medium,Low,High,67,Low
28,74,Medium,Low,High,69,Low
7,96,High,Medium,High,67,Low
29,96,High,Low,High,73,Medium
11,99,Medium,High,Low,71,Medium
18,96,Medium,Medium,Medium,70,Low
17,65,High,Medium,Medium,65,Low
24,93,High,Medium,Medium,73,Medium
10,76,Medium,Medium,High,65,Low
23,100,Low,Medium,Medium,73,Medium
32,79,Low,Medium,High,70,Low
12,82,High,High,Low,66,Low
21,81,Low,High,Low,66,Low
16,73,Medium,Low,High,64,Low
23,63,Medium,High,Medium,68,Low
20,96,Medium,Medium,High,70,Low
16,92,Medium,High,Medium,72,Medium
23,66,Medium,Medium,Medium,66,Low
31,91,Medium,Medium,High,74,Medium
19,85,High,Low,High,67,Low
24,76,High,Medium,Medium,71,Medium
12,70,Low,Medium,Medium,60,Low
14,94,Low,Medium,Medium,68,Low
23,88,Medium,Medium,Medium,69,Low
29,82,High,Medium,High,74,Medium
22,84,High,Medium,Medium,71,Medium
18,64,High,High,Medium,63,Low
20,79,High,High,Medium,66,Low
12,68,Medium,Medium,High,65,Low
24,68,Low,High,High,60,Low
25,86,Medium,Medium,Medium,69,Low
17,96,High,Medium,Medium,69,Low
17,76,Medium,Low,Medium,67,Low
22,68,High,High,Medium,65,Low
17,86,High,Medium,High,70,Low
20,95,High,Low,Medium,71,Medium
33,90,Low,Medium,High,73,Medium
19,95,Low,Medium,Medium,70,Low
18,81,High,High,High,67,Low
16,90,Low,Medium,Medium,67,Low
24,66,Low,Medium,High,65,Low
19,74,High,Medium,Medium,69,Low
16,76,High,Medium,,65,Low
28,80,Medium,Low,Medium,68,Low
29,97,High,Medium,Medium,74,Medium
16,95,Low,High,Medium,68,Low
9,65,Medium,Low,Medium,61,Low
26,67,Medium,High,Medium,67,Low
16,74,High,Medium,Medium,66,Low
25,72,Low,Low,High,69,Low
8,85,Medium,Low,High,62,Low
25,96,Medium,Low,Medium,71,Medium
13,98,High,Medium,Medium,71,Medium
24,86,Medium,Low,High,72,Medium
20,94,Medium,Low,High,69,Low
14,81,Low,Medium,High,67,Low
18,68,Medium,Medium,High,63,Low
24,81,Medium,Medium,High,68,Low
21,82,High,Low,Medium,69,Low
24,90,Medium,Low,Medium,65,Low
32,69,High,Medium,Medium,70,Low
11,75,Medium,Medium,High,65,Low
30,75,Medium,Medium,Medium,67,Low
21,98,Medium,Medium,High,72,Medium
15,78,Medium,High,High,69,Low
12,90,High,Low,Medium,69,Low
19,90,High,Medium,High,71,Medium
26,71,Medium,Medium,High,67,Low
19,83,Low,Low,Low,65,Low
29,96,Low,Medium,High,70,Low
11,79,Medium,Low,Medium,63,Low
20,98,High,Medium,Medium,71,Medium
12,69,High,Low,Medium,64,Low
22,63,Medium,High,Medium,69,Low
25,96,Low,Low,Medium,69,Low
17,94,Medium,Medium,High,70,Low
4,100,High,Low,Medium,64,Low
21,87,Medium,Low,Medium,70,Low
23,97,Medium,Medium,High,74,Medium
22,93,Medium,Medium,Medium,69,Low
27,94,Low,Medium,Medium,73,Medium
14,83,Medium,Medium,High,66,Low
24,75,High,High,High,67,Low
27,97,High,Medium,Medium,76,Medium
9,77,Medium,Low,Low,61,Low
22,82,Low,High,Medium,68,Low
17,78,Medium,High,Medium,63,Low
20,83,High,Medium,Medium,67,Low
22,79,Low,Low,Medium,66,Low
17,62,High,Low,High,62,Low
16,95,High,Medium,High,69,Low
20,78,Medium,Medium,Medium,67,Low
13,84,Medium,Low,Medium,66,Low
13,66,High,Medium,Medium,63,Low
24,60,Medium,Low,Medium,64,Low
13,70,Low,High,Medium,64,Low
24,88,Low,Medium,High,67,Low
23,64,Low,High,Medium,66,Low
10,96,High,Medium,Low,68,Low
16,69,Medium,Medium,High,62,Low
27,68,Medium,Low,Medium,68,Low
14,67,High,Medium,Medium,63,Low
17,61,Medium,Low,High,62,Low
23,91,High,High,Medium,72,Medium
25,95,Medium,Low,Medium,69,Low
18,85,Medium,High,High,67,Low
16,68,Medium,Medium,High,65,Low
29,71,High,Low,Medium,69,Low
30,79,High,Medium,Medium,72,Medium
26,98,Low,Medium,Low,70,Low
21,70,High,Medium,Low,91,High
15,89,High,Low,Medium,65,Low
15,78,Low,Low,Medium,62,Low
23,72,Low,Medium,Medium,65,Low
23,78,Medium,Medium,High,67,Low
28,63,Medium,High,High,67,Low
24,92,Medium,Medium,Medium,72,Medium
11,70,Medium,Low,High,60,Low
26,89,Medium,Low,Low,69,Low
14,63,Medium,Low,Low,61,Low
18,98,Low,Medium,Medium,70,Low
22,68,Medium,High,Medium,68,Low
32,95,Medium,Medium,Medium,75,Medium
39,92,Medium,Medium,Medium,75,Medium
24,99,High,Low,Medium,72,Medium
19,79,Low,High,Medium,66,Low
23,89,Low,Low,Medium,71,Medium
25,75,Low,High,High,70,Low
18,67,Medium,Low,Medium,63,Low
31,78,High,Low,High,72,Medium
21,67,Medium,Medium,High,65,Low
23,99,Medium,Low,Low,71,Medium
24,64,Medium,Medium,Medium,65,Low
23,84,Medium,Medium,High,69,Low
25,85,Medium,Medium,High,71,Medium
16,82,Medium,Medium,Medium,68,Low
17,86,Low,Low,High,66,Low
13,65,High,Low,Medium,60,Low
23,82,Medium,Medium,Medium,68,Low
25,71,Medium,Medium,Medium,67,Low
23,98,Medium,Medium,High,71,Medium
30,90,High,High,Medium,74,Medium
20,99,Low,Medium,Low,70,Low
24,62,Low,Low,Medium,63,Low
13,71,Medium,Medium,Medium,64,Low
18,68,Medium,High,Medium,66,Low
24,60,Medium,Medium,Low,64,Low
25,70,High,Medium,High,69,Low
18,87,Medium,Medium,Low,71,Medium
20,69,High,Medium,Medium,64,Low
11,80,Medium,Low,High,65,Low
18,96,High,Low,Medium,69,Low
25,88,Medium,Medium,Low,68,Low
23,76,Medium,Medium,Low,68,Low
23,75,High,High,High,68,Low
20,78,Low,Low,Medium,65,Low
20,67,High,Low,Medium,65,Low
16,85,Medium,Low,Medium,66,Low
24,75,High,Medium,Medium,66,Low
23,94,Medium,Medium,High,71,Medium
23,90,High,Medium,High,68,Low
17,84,Low,Low,High,65,Low
7,75,Medium,Medium,Low,63,Low
27,68,High,Medium,Low,66,Low
17,91,High,Medium,High,71,Medium
15,79,Low,Medium,Medium,65,Low
24,69,Medium,Low,Medium,68,Low
18,68,Medium,High,Medium,66,Low
26,67,Low,Medium,Medium,64,Low
24,91,Medium,High,Low,70,Low
24,69,High,Medium,Medium,70,Low
12,81,Medium,Low,,66,Low
27,78,Medium,Medium,,70,Low
22,83,High,Medium,High,71,Medium
18,95,Low,Medium,High,70,Low
21,95,Medium,Medium,Medium,70,Low
9,78,High,Low,Medium,66,Low
22,61,High,Low,Medium,64,Low
14,77,High,Low,Medium,66,Low
12,84,High,High,Medium,68,Low
11,82,Low,Low,Medium,61,Low
27,86,Medium,Medium,High,72,Medium
16,66,High,Medium,High,66,Low
29,86,Low,Medium,Medium,68,Low
17,67,Low,High,High,61,Low
10,90,High,Low,Medium,67,Low
13,74,High,Low,Medium,66,Low
27,88,Medium,Medium,Medium,74,Medium
19,62,High,Medium,Low,66,Low
17,76,High,Medium,Medium,67,Low
21,88,High,Medium,Medium,71,Medium
23,69,High,High,High,66,Low
27,92,Medium,High,Low,71,Medium
29,85,High,High,Medium,72,Medium
18,84,Medium,Medium,Medium,66,Low
12,74,High,Low,Medium,62,Low
18,79,High,Low,High,66,Low
22,84,Low,Medium,High,69,Low
14,79,Medium,Medium,High,64,Low
14,88,Medium,Medium,High,69,Low
22,77,High,Medium,Medium,69,Low
20,68,High,High,Medium,64,Low
20,69,Medium,Medium,High,68,Low
15,60,Medium,Low,High,63,Low
19,72,High,Low,Medium,64,Low
14,90,Medium,Medium,Medium,69,Low
25,92,Low,Medium,Medium,71,Medium
26,68,Medium,Low,Medium,67,Low
9,98,High,Low,Medium,67,Low
14,80,High,High,High,66,Low
11,97,Medium,Medium,Low,67,Low
16,88,Low,Low,Medium,68,Low
19,89,Medium,Low,High,69,Low
11,63,High,High,High,62,Low
14,69,Medium,High,High,66,Low
14,60,Medium,Medium,High,63,Low
21,89,Low,Medium,Low,67,Low
20,74,High,High,,68,Low
16,91,Medium,Low,Medium,66,Low
21,74,Medium,Medium,Medium,66,Low
17,93,High,Low,Medium,67,Low
18,65,High,Medium,Medium,66,Low
30,67,Medium,Medium,Medium,69,Low
28,74,Medium,High,Medium,72,Medium
12,76,Medium,Medium,Medium,60,Low
25,74,Low,High,Medium,68,Low
